,userId,movieId,rating,timestamp
18842,122,260,5.0,1461561351
18845,122,296,5.0,1461561354
18846,122,318,5.0,1461561133
18847,122,356,5.0,1461561332
18849,122,480,4.0,1461561380
18855,122,593,5.0,1461561148
18912,122,2571,5.0,1461561331
46757,307,110,3.5,1186087165
46784,307,260,3.5,1186160883
46790,307,296,4.5,1186088034
46791,307,318,4.5,1186088053
46799,307,356,4.0,1186088040
46822,307,480,3.5,1187383664
46845,307,593,4.5,1186088046
47106,307,2571,3.5,1189455492
62025,411,110,4.0,835532155
62071,411,296,5.0,835531951
62074,411,318,4.0,835532030
62085,411,356,5.0,835532346
62111,411,480,5.0,835532370
62131,411,593,5.0,835532100
68338,443,110,4.5,1501722477
68339,443,260,4.0,1501722465
68340,443,296,4.0,1501722467
68341,443,318,5.0,1501722458
68342,443,356,5.0,1501722461
68343,443,593,3.5,1420236772
68349,443,2571,3.5,1420236640
78373,488,318,5.0,1112382037
78378,488,593,4.5,1112382730
88684,573,110,5.0,1186589227
88691,573,260,5.0,1186589669
88693,573,296,5.0,1186589250
88695,573,318,4.5,1299222415
88697,573,356,4.5,1186589781
88703,573,480,5.0,1186722173
88709,573,593,4.5,1248842982
88776,573,2571,5.0,1186589585
92674,599,110,3.5,1498501202
92730,599,260,5.0,1498533468
92742,599,296,5.0,1498456867
92749,599,318,4.0,1498498867
92769,599,356,3.5,1498797749
92826,599,480,4.0,1498498722
92872,599,593,3.0,1498519279
93451,599,2571,5.0,1519029461
